,,OFERTA HANDLOWA SELIGA,,,,,,
,,,,,,,,
,,,,,,,,
,,06.11.2024 – 09.12.2024,,,,,,
,,,,,,,,
LP,,NAZWA,ILOŚĆ ZAMÓWIONA,JM,KRAJ,VAT,Cena netto,Cena Brutto
221,,ZIEMNIAK IRGA PL -   15 KG PL,,KG,POLSKA,5%,2.10,2.21
222,,ZIEMNIAK ŻÓŁTY PL - OP 15 KG PL,,KG,POLSKA,5%,1.20,1.26
223,,ZIEMNIAK SŁODKI BATAT OP 6 KG EG,,KG,EGIPT,5%,6.30,6.62
,83.0001,,,,,,,
,83.0002(1),,,,,,,
225,83.0005(2)(1)(1)(1),BARSZCZ BIAŁY BUTELKA JOWA OP 15 SZT PL,,szt.,POLSKA,5%,2.30,2.42
226,83.0002,BARSZCZ BIAŁY SZKŁO 500 ML PL,,szt.,POLSKA,5%,3.05,3.21
227,84.0047,BARSZCZ CZERWONY BUTELKA SZKLANA 500 ML PL,,szt.,POLSKA,5%,4.00,4.20
228,84.0047,BOROWIK SUSZ KRAJANKA 20 G SZT PL,,SZT,POLSKA ,5%,5.50,5.78
229,84.0010,BURACZKI TARTE 520 G SMAK TRADYCJI,,SZT,POLSKA,5%,3.80,3.99
230,84.0009(4),BURAK BABUNI Z CHRZANEM SŁOIK PL,,szt.,POLSKA,5%,5.25,5.52
231,84.0009,CHIPSY BANANOWE KG PHL,,KG,FILIPINY,5%,18.05,18.96
232,,"CHRZAN SŁOIK DUŻY 280 G ""SŁOWIAŃSKIE SKARBY"" PL",,SZT,POLSKA,5%,5.80,6.09
233,,CHRZAN SŁOIK DUŻY 290 G SMAK TRADYCJI PL,,SZT,POLSKA,5%,4.45,4.68
234,115.0001,"CHRZAN SŁOIK MAŁY 180G ""SŁOWIAŃSKIE SKARBY"" PL",,SZT,POLSKA,5%,4.20,4.41
235,87.0003,CHRZAN SŁOIK MAŁY 180G SMAK TRADYCJI PL,,SZT,POLSKA,5%,3.05,3.21
236,87.0003(2),CHRZAN TARTY BABUNI SŁOIK DUŻY 300 G PL,,SZT,POLSKA,5%,6.30,6.62
237,120.0012,CHRZAN TARTY BABUNI SŁOIK MAŁY 200 G PL,,SZT,POLSKA,5%,4.70,4.94
238,1,"CHRZAN TARTY SŁOIK DUŻY 300 G ""KOSZ NATURY"" PL",,SZT,POLSKA,5%,5.45,5.73
239,2,"CHRZAN TARTY SŁOIK MAŁY 190 G ""KOSZ NATURY"" PL",,SZT,POLSKA,5%,4.85,5.10
240,89.0041,CHRZAN Z CYTRYNĄ SŁOIK 220G SMAK TRADYCJI PL,,SZT,POLSKA,5%,5.05,5.31
241,89.0041(3),CIECIERZYCA KG PL,,KG,POLSKA,5%,9.60,10.08
242,1,"ĆWIKŁA 280 G ""SŁOWIAŃSKIE SKARBY"" PL",,szt.,POLSKA,5%,5.05,5.31
243,2,ĆWIKŁA BABUNI NA OSTRO SŁOIK PL,,szt.,POLSKA,5%,4.70,4.94
244,1,ĆWIKŁA Z CHRZANEM KOSZ NATURY 300 G PL,,szt.,POLSKA,5%,4.85,5.10
245,2,DAKTYLE SUSZONE OP 10 KG IL,,KG,IZRAEL,5%,9.00,9.45
246,121.0016(1),FASOLA BIAŁA DROBNA KG PL,,KG,POLSKA,5%,10.60,11.13
247,89.0043,FASOLA JAŚ ŚREDNI KG PL,,KG,POLSKA,5%,9.60,10.08
248,89.0007(1)(1)(1),"FASOLA JAŚ ŚREDNI OBIERANY 0,5 KG PL",,KG,POLSKA,5%,19.25,20.22
249,89.0131(1),FASOLA JAŚ TYCZNY KG PE,,KG,PERU,5%,16.80,17.64
